Date,Open,High,Low,Close,Adj Close,Volume
1989-01-16,129.750000,129.750000,129.750000,129.750000,33.274223,0
1989-01-17,128.500000,128.500000,128.500000,128.500000,32.953667,0
1989-01-18,129.500000,129.500000,129.500000,129.500000,33.210121,0
1989-01-19,132.500000,132.500000,132.500000,132.500000,33.979465,0
1989-01-20,134.500000,134.500000,134.500000,134.500000,34.492367,0
1989-01-23,134.250000,134.250000,134.250000,134.250000,34.428261,0
1989-01-24,133.500000,133.500000,133.500000,133.500000,34.235912,0
1989-01-25,133.000000,133.000000,133.000000,133.000000,34.107704,0
1989-01-26,134.250000,134.250000,134.250000,134.250000,34.428261,0
1989-01-27,136.000000,136.000000,136.000000,136.000000,34.877045,0
1989-01-30,138.500000,138.500000,138.500000,138.500000,35.518158,0
1989-01-31,140.750000,140.750000,140.750000,140.750000,36.095184,0
1989-02-01,139.250000,139.250000,139.250000,139.250000,35.710495,0
1989-02-02,137.250000,137.250000,137.250000,137.250000,35.197598,0
1989-02-03,138.000000,138.000000,138.000000,138.000000,35.389935,0
1989-02-06,135.750000,135.750000,135.750000,135.750000,34.812935,0
1989-02-07,137.000000,137.000000,137.000000,137.000000,35.133476,0
1989-02-08,137.500000,137.500000,137.500000,137.500000,35.261726,0
1989-02-09,137.250000,137.250000,137.250000,137.250000,35.197598,0
1989-02-10,136.750000,136.750000,136.750000,136.750000,35.069378,0
1989-02-13,136.250000,136.250000,136.250000,136.250000,34.941154,0
1989-02-14,137.500000,137.500000,137.500000,137.500000,35.261726,0
1989-02-15,137.500000,137.500000,137.500000,137.500000,35.261726,0
1989-02-16,135.750000,135.750000,135.750000,135.750000,34.812935,0
1989-02-17,136.000000,136.000000,136.000000,136.000000,34.877045,0
1989-02-20,137.000000,137.000000,137.000000,137.000000,35.133476,0
1989-02-21,137.000000,137.000000,137.000000,137.000000,35.133476,0
1989-02-22,136.000000,136.000000,136.000000,136.000000,34.877045,0
1989-02-23,135.250000,135.250000,135.250000,135.250000,34.684700,0
1989-02-24,136.250000,136.250000,136.250000,136.250000,34.941154,0
1989-02-27,130.750000,130.750000,130.750000,130.750000,33.530693,0
1989-02-28,129.250000,129.250000,129.250000,129.250000,33.146011,0
1989-03-01,129.750000,129.750000,129.750000,129.750000,33.274223,0
1989-03-02,131.000000,131.000000,131.000000,131.000000,33.594810,0
1989-03-03,132.000000,132.000000,132.000000,132.000000,33.851238,0
1989-03-06,134.500000,134.500000,134.500000,134.500000,34.492367,0
1989-03-07,138.000000,138.000000,138.000000,138.000000,35.389935,0
1989-03-08,137.250000,137.250000,137.250000,137.250000,35.197598,0
1989-03-09,138.000000,138.000000,138.000000,138.000000,35.389935,0
1989-03-10,135.250000,135.250000,135.250000,135.250000,34.684700,0
1989-03-13,137.750000,137.750000,137.750000,137.750000,35.325817,0
1989-03-14,139.500000,139.500000,139.500000,139.500000,35.774616,0
1989-03-15,143.500000,143.500000,143.500000,143.500000,36.800411,0
1989-03-16,146.500000,146.500000,146.500000,146.500000,37.569744,0
1989-03-17,146.750000,146.750000,146.750000,146.750000,37.633873,0
1989-03-20,144.500000,144.500000,144.500000,144.500000,37.056881,0
1989-03-21,145.000000,145.000000,145.000000,145.000000,37.185074,0
1989-03-22,144.000000,144.000000,144.000000,144.000000,36.928631,0
1989-03-23,144.750000,144.750000,144.750000,144.750000,37.120968,0
1989-03-24,144.750000,144.750000,144.750000,144.750000,37.120968,0
1989-03-27,144.750000,144.750000,144.750000,144.750000,37.120968,0
1989-03-28,145.250000,145.250000,145.250000,145.250000,37.249203,0
1989-03-29,144.500000,144.500000,144.500000,144.500000,37.056881,0
1989-03-30,141.000000,141.000000,141.000000,141.000000,36.159286,0
1989-03-31,143.250000,143.250000,143.250000,143.250000,36.736290,0
1989-04-03,143.000000,143.000000,143.000000,143.000000,36.672195,0
1989-04-04,142.000000,142.000000,142.000000,142.000000,36.415726,0
1989-04-05,142.250000,142.250000,142.250000,142.250000,36.479839,0
1989-04-06,139.750000,139.750000,139.750000,139.750000,35.838734,0
1989-04-07,138.750000,138.750000,138.750000,138.750000,35.582260,0
1989-04-10,137.500000,137.500000,137.500000,137.500000,35.261726,0
1989-04-11,137.500000,137.500000,137.500000,137.500000,35.261726,0
1989-04-12,137.250000,137.250000,137.250000,137.250000,35.197598,0
1989-04-13,134.250000,134.250000,134.250000,134.250000,34.428261,0
1989-04-14,137.250000,137.250000,137.250000,137.250000,35.197598,0
1989-04-17,139.000000,139.000000,139.000000,139.000000,35.646389,0
1989-04-18,139.500000,139.500000,139.500000,139.500000,35.774616,0
1989-04-19,141.750000,141.750000,141.750000,141.750000,36.351635,0
1989-04-20,141.250000,141.250000,141.250000,141.250000,36.223404,0
1989-04-21,141.500000,141.500000,141.500000,141.500000,36.287502,0
1989-04-24,141.750000,141.750000,141.750000,141.750000,36.351635,0
1989-04-25,142.000000,142.000000,142.000000,142.000000,36.415726,0
1989-04-26,142.250000,142.250000,142.250000,142.250000,36.479839,0
1989-04-27,145.000000,145.000000,145.000000,145.000000,37.185074,0
1989-04-28,145.000000,145.000000,145.000000,145.000000,37.185074,0
1989-05-01,145.000000,145.000000,145.000000,145.000000,37.185074,0
1989-05-02,143.750000,143.750000,143.750000,143.750000,36.864548,0
1989-05-03,143.000000,143.000000,143.000000,143.000000,36.672195,0
1989-05-04,141.250000,141.250000,141.250000,141.250000,36.223404,0
1989-05-05,142.000000,142.000000,142.000000,142.000000,36.415726,0
1989-05-08,141.000000,141.000000,141.000000,141.000000,36.159286,0
1989-05-09,140.750000,140.750000,140.750000,140.750000,36.095184,0
1989-05-10,139.250000,139.250000,139.250000,139.250000,35.710495,4996280
1989-05-11,139.250000,139.250000,139.250000,139.250000,35.710495,1579432
1989-05-12,141.000000,141.000000,141.000000,141.000000,36.159286,1961076
1989-05-15,141.500000,141.500000,141.500000,141.500000,36.287502,2196708
1989-05-16,140.750000,140.750000,140.750000,140.750000,36.095184,2054376
1989-05-17,142.500000,142.500000,142.500000,142.500000,36.543938,2888512
1989-05-18,143.500000,143.500000,143.500000,143.500000,36.800411,2144420
1989-05-19,144.250000,144.250000,144.250000,144.250000,36.992725,2670412
1989-05-22,143.000000,143.000000,143.000000,143.000000,36.672195,2089020
1989-05-23,142.750000,142.750000,142.750000,142.750000,36.608063,1985836
1989-05-24,143.000000,143.000000,143.000000,143.000000,36.672195,1686672
1989-05-25,143.500000,143.500000,143.500000,143.500000,36.800411,2059484
1989-05-26,144.000000,144.000000,144.000000,144.000000,36.928631,2193564
1989-05-29,144.000000,144.000000,144.000000,144.000000,36.928631,0
1989-05-30,144.500000,144.500000,144.500000,144.500000,37.056881,2490664
1989-05-31,144.750000,144.750000,144.750000,144.750000,37.120968,2896448
1989-06-01,145.000000,145.000000,145.000000,145.000000,37.185074,2924216
1989-06-02,143.750000,143.750000,143.750000,143.750000,36.864548,1665508
1989-06-05,142.750000,142.750000,142.750000,142.750000,36.608063,1918996
1989-06-06,144.000000,144.000000,144.000000,144.000000,36.928631,2202224
1989-06-07,143.750000,143.750000,143.750000,143.750000,36.864548,1938148
1989-06-08,144.750000,144.750000,144.750000,144.750000,37.120968,3544152
1989-06-09,144.750000,144.750000,144.750000,144.750000,37.120968,2710160
1989-06-12,147.750000,147.750000,147.750000,147.750000,37.890316,3988080
1989-06-13,147.500000,147.500000,147.500000,147.500000,37.826206,3708392
1989-06-14,147.500000,147.500000,147.500000,147.500000,37.826206,2148460
1989-06-15,147.750000,147.750000,147.750000,147.750000,37.890316,3145816
1989-06-16,147.000000,147.000000,147.000000,147.000000,37.697975,2926852
1989-06-19,147.000000,147.000000,147.000000,147.000000,37.697975,2013792
1989-06-20,146.000000,146.000000,146.000000,146.000000,37.441532,2847904
1989-06-21,146.750000,146.750000,146.750000,146.750000,37.633873,2051400
1989-06-22,147.000000,147.000000,147.000000,147.000000,37.697975,1551204
1989-06-23,146.500000,146.500000,146.500000,146.500000,37.569744,3363804
1989-06-26,148.000000,148.000000,148.000000,148.000000,37.954426,2699840
1989-06-27,150.000000,150.000000,150.000000,150.000000,38.467327,4553444
1989-06-28,151.000000,151.000000,151.000000,151.000000,38.723785,4906096
1989-06-29,148.500000,148.500000,148.500000,148.500000,38.082661,2879304
1989-06-30,148.250000,148.250000,148.250000,148.250000,38.018520,2695472
1989-07-03,149.750000,149.750000,149.750000,149.750000,38.403221,3373624
1989-07-04,149.750000,149.750000,149.750000,149.750000,38.403221,2059864
1989-07-05,147.500000,147.500000,147.500000,147.500000,37.826206,1714456
1989-07-06,146.500000,146.500000,146.500000,146.500000,37.569744,1861772
1989-07-07,148.500000,148.500000,148.500000,148.500000,38.082661,1701508
1989-07-10,148.000000,148.000000,148.000000,148.000000,37.954426,1929780
1989-07-11,150.500000,150.500000,150.500000,150.500000,38.595531,3564404
1989-07-12,150.250000,150.250000,150.250000,150.250000,38.531433,3003416
1989-07-13,149.750000,149.750000,149.750000,149.750000,38.403221,2684816
1989-07-14,150.500000,150.500000,150.500000,150.500000,38.595531,3726032
1989-07-17,152.250000,152.250000,152.250000,152.250000,39.044334,3082516
1989-07-18,152.500000,152.500000,152.500000,152.500000,39.108444,2534380
1989-07-19,154.250000,154.250000,154.250000,154.250000,39.557243,3113392
1989-07-20,154.500000,154.500000,154.500000,154.500000,39.621342,2704668
1989-07-21,153.750000,153.750000,153.750000,153.750000,39.429016,2665860
